o,config,Reward held-out,SLA,Makespan,Latencia P95,Throughput,Tamaño,FLOPs,Score total
2,32 / cpu / 64,0.09492942261779072,0.0,0.0667173439460687,0.1692378862389909,0.3400663268020676,0.06208120485686189,0.1208539017990486,0.8538860862608284
2,32 / cpu / 16,0.10676381100765334,0.0,0.036896460199257505,0.16476844954192585,0.2714638768249486,0.08344973551411508,0.16197370497213953,0.8253160380600397
2,32 / cpu / 4,0.0017153330952681249,0.0,0.04599660129760868,0.16247906038424664,0.3204870300916439,0.08541788965359892,0.1656214294471718,0.7817173439695382
2,32 / cpu / 8,0.0014238687399067826,0.0,0.04599660129760868,0.165041126721038,0.27970408941823965,0.08491179287487449,0.16470028690297173,0.7417777659546394
2,32 / cpu / 32,0.029007424041046313,0.0,0.04974073819387522,0.16936089944425092,0.2504046356473452,0.07872616557935386,0.15298335374074687,0.7302232166466184
2,32 / cuda / 32,0.14195466747483373,0.0,0.051420976516114845,0.10448572484124685,0.14220334917864597,0.07872616557935386,0.15298335374074687,0.6717742373309422
2,32 / cuda / 16,0.10107894715031093,0.0,0.034810526388010375,0.11428295214816153,0.13013122346238676,0.08344973551411508,0.16197370497213953,0.6257270896351241
2,32 / cuda / 8,0.06807853485091246,0.0,0.03281499883040503,0.1065851306927286,0.12884323570659426,0.08491179287487449,0.16470028690297173,0.5859339798584866
2,32 / cuda / 64,0.06733463366299505,0.0,0.05588527438956881,0.12198076851186693,0.13790665852641282,0.06208120485686189,0.1208539017990486,0.5660424417467541
2,32 / cpu / 128,0.06538613262706493,0.0,0.053802429630268454,0.16735170199043492,0.24840007204441297,0.0,0.0,0.5349403362921813
2,16 / cuda / 32,0.13315323650633576,0.0,0.06716113774241952,0.03730475796074226,0.049392608222870435,0.08225947086785579,0.15298335374074687,0.5222545650409707
2,32 / cuda / 4,0.0,0.0,0.04599660129760868,0.0890900921138361,0.13081645789537574,0.08541788965359892,0.1656214294471718,0.5169424704075912
2,16 / cuda / 16,0.12915507920957603,0.0,0.06622700843372004,0.02470833303530713,0.049024459036664456,0.08462125583523641,0.16197370497213953,0.5157098405226437
2,16 / cuda / 8,0.10473012755434111,0.0,0.03632745683066477,0.06809603359901892,0.04567838688210603,0.08535228451561612,0.16470028690297173,0.5048845762847187
2,16 / cuda / 4,0.09966569159732737,0.0,0.06073611562996034,0.035905154059754384,0.049889906971902986,0.08560533290497835,0.1656214294471718,0.49742363061109524
2,8 / cpu / 8,0.10994885586684267,0.0,0.05353018118536088,0.05440548364658612,0.024231538370544838,0.08557253033598694,0.16470028690297173,0.49238887630829314
2,16 / cuda / 64,0.13127704823025366,0.0,0.06603898813856075,0.0457023813666691,0.04276019783563762,0.07393699050660982,0.1208539017990486,0.4805695078767795
2,8 / cpu / 4,0.0672238339560071,0.0,0.053476637618283765,0.05541008175194532,0.026254072992984316,0.08569905453066805,0.1656214294471718,0.4536851102970603
2,8 / cpu / 32,0.05971801362650891,0.0,0.07083690362226451,0.045576636817505116,0.0209696275168455,0.08402612351210678,0.15298335374074687,0.43411065883597766
2,8 / cpu / 16,0.056763191904248535,0.0,0.04442283229913394,0.04395629519767556,0.023799543203722684,0.08520701599579708,0.16197370497213953,0.4161225835727173
2,8 / cpu / 64,0.11818966727595963,0.0,0.0434411315904544,0.03258520073620475,0.01151746240477419,0.0798648833314838,0.1208539017990486,0.4064522471379253
2,16 / cuda / 128,0.16841538615357704,0.0,0.05988188979828366,0.07714972610702847,0.043282533747999216,0.042896388078178874,0.0,0.3916259238850673
2,32 / cuda / 128,0.12216281236831975,0.0,0.015367621561525706,0.11358315019766765,0.11153008374560487,0.0,0.0,0.36264366787311797
2,8 / cpu / 128,0.05835885181738973,0.0,0.0,0.0,0.0,0.0643445821172683,0.0,0.12270343393465803
