experiment_id,precision,bits,hidden_size,n_hidden_layers,episodes_trained,stopped_early,best_episode,best_mean_reward,best_eval_reward,best_eval_episode,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_n_samples,throughput_pps,throughput_batch_size,params,packed_size_mb,flops,effective_capacity_bits,avg_steps,norm_reward,eval_episodes,eval_mean_reward,eval_makespan,eval_sla_violations,eval_sla_rate,wall_clock_s,device,seed,notes,extra
h4_native_precision_16_cuda_h64,16,16,64,2,350,True,200,2941.0552506153167,2962.6258960386754,100,0.1564609608054161,0.14745600521564484,0.20377600193023682,200,444337.24807967705,64,5060,0.01012,9856.0,80960,284.19428571428574,10.348748720345847,10,17.142482406571474,1.8753449999999998,0.0,0.0,393.3422925640007,cuda,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
h4_native_precision_16_cuda_h128,16,16,128,2,600,False,600,2914.8913979946324,2978.3309042252636,350,0.15502688101492823,0.14847999811172485,0.15775999426841736,200,447429.70163690014,64,18308,0.036616,36096.0,292928,282.12833333333333,10.33179249866656,10,19.272860041074466,2.0248350000000004,0.0,0.0,739.0633763690003,cuda,42,episode budget exhausted,"{""eval_every"": 50, ""n_episodes_budget"": 600}"
h4_native_precision_32_cpu_h4,32,32,4,2,350,True,200,2891.938573258121,2901.808310079575,200,0.021970724928905838,0.018900000213761814,0.032899999496294186,200,2088599.704519455,64,80,0.00032,136.0,2560,288.22,10.033788679682605,10,9.710394821465002,2.36196,0.0,0.0,314.6637793959999,cpu,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
h4_native_precision_32_cpu_h8,32,32,8,2,350,True,200,2893.4207883567856,2916.2854474693536,100,0.022229394926398527,0.021219999325694516,0.029151000489946455,200,1847147.1316161784,64,188,0.000752,336.0,6016,290.26,9.968375898700426,10,9.693675464093687,2.36196,0.0,0.0,318.93738986300013,cpu,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
h4_native_precision_32_cpu_h16,32,32,16,2,350,True,200,2957.0168139675043,2992.1245252728518,150,0.02110356997945928,0.019820001398329623,0.02955000127258245,200,1798361.5242257435,64,500,0.002,928.0,16000,283.63428571428574,10.425456169802425,10,15.73632221609355,2.582905,0.0,0.0,310.909403398,cpu,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
h4_native_precision_32_cpu_h32,32,32,32,2,400,True,250,2913.0226029418413,2950.6162127994,200,0.02162140996006201,0.0213999992411118,0.02282999957969878,200,1673681.7468050115,64,1508,0.006032,2880.0,48256,287.105,10.146192518214038,10,11.275959232822062,2.2710549999999996,0.0,0.0,378.775518421,cpu,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
h4_native_precision_32_cpu_h64,32,32,64,2,350,True,200,2990.3649873237446,3053.560829997994,100,0.020111794947297312,0.019461000192677602,0.023010001314105466,200,2204517.573322167,64,5060,0.02024,9856.0,161920,283.19714285714286,10.559304932084773,10,15.057462639883173,1.858875,0.0,0.0,310.194220768999,cpu,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
h4_native_precision_32_cpu_h128,32,32,128,2,400,True,250,2920.684522178644,2970.625116116925,200,0.02386906503488717,0.02353000127186533,0.025770001229830086,200,1661813.8669639707,64,18308,0.073232,36096.0,585856,280.92,10.396855055455802,10,13.36276202145964,2.17244,0.0,0.0,369.4111755570011,cpu,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
h4_native_precision_8_cpu_h4,8,8,4,2,350,True,200,2845.1971229124806,2881.6551109869,100,0.18028352996225294,0.17821100118453614,0.18957099928229582,200,346613.8802667141,64,80,8e-05,136.0,640,291.07142857142856,9.774910360926315,10,13.46817863482984,2.18035,0.0,0.0,447.75534615700053,cpu,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
h4_native_precision_8_cpu_h8,8,8,8,2,350,True,200,2806.5224055671447,2832.9540194496494,100,0.18024186993898184,0.17763100004231092,0.19104099919786677,200,334639.60425055533,64,188,0.000188,336.0,1504,300.04571428571427,9.353649367225001,10,15.919026901125898,2.17905,0.0,0.0,465.4026702910014,cpu,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
h4_native_precision_8_cpu_h16,8,8,16,2,350,True,200,2775.4130883759503,2875.9758693601957,100,0.19676240495755337,0.19420100034039933,0.2063310002995422,200,332082.0068142574,64,500,0.0005,928.0,4000,306.4714285714286,9.0560255528978,10,12.86812168248,2.40017,0.0,0.0,476.67791878000025,cpu,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
h4_native_precision_8_cpu_h32,8,8,32,2,350,True,200,2933.7668406107136,2963.910989409311,200,0.18838270003470825,0.18450000061420724,0.2039600003627129,200,315327.6871792971,64,1508,0.001508,2880.0,12064,291.27142857142854,10.072278132461129,10,13.037620008550586,1.758855,0.0,0.0,456.14151288300127,cpu,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
h4_native_precision_8_cpu_h64,8,8,64,2,350,True,200,2865.3360081092774,2942.939011644204,150,0.2152972900239547,0.21412999922176823,0.22297000032267533,200,259366.79892229786,64,5060,0.00506,9856.0,40480,289.80571428571426,9.887092858646652,10,16.391747041493687,2.424005,0.0,0.0,459.96404431500014,cpu,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
h4_native_precision_8_cpu_h128,8,8,128,2,350,True,200,2946.887878385869,2996.876494525372,150,0.22358851496392163,0.21222000032139476,0.27065100039180834,200,191178.46122444744,64,18308,0.018308,36096.0,146464,292.77142857142854,10.065489972041126,10,12.95965400140734,3.478725,0.0,0.0,480.4317456690005,cpu,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
