experiment_id,precision,bits,hidden_size,n_hidden_layers,episodes_trained,stopped_early,best_episode,best_mean_reward,best_eval_reward,best_eval_episode,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_n_samples,throughput_pps,throughput_batch_size,params,packed_size_mb,flops,effective_capacity_bits,avg_steps,norm_reward,eval_episodes,eval_mean_reward,eval_makespan,eval_sla_violations,eval_sla_rate,wall_clock_s,device,seed,notes,extra
h4_native_precision_32_cuda_h4,32,32,4,2,350,True,200,2906.751816849597,2945.248463368231,100,0.0953326386353001,0.08393599838018417,0.14028799533843994,200,965668.2310984908,64,80,0.00032,136.0,2560,289.50857142857143,10.040296225104207,10,9.611997653841971,2.36196,0.0,0.0,384.820305448,cuda,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
h4_native_precision_32_cuda_h8,32,32,8,2,350,True,200,2910.235326656948,2937.107918699458,150,0.09357935997657478,0.0870399996638298,0.11468800157308578,200,953985.9059271276,64,188,0.000752,336.0,6016,291.02,10.000121389103663,10,13.517207099013007,2.682,0.0,0.0,377.141574966,cuda,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
h4_native_precision_32_cuda_h16,32,32,16,2,350,True,200,2924.5553419733424,2952.1068254260354,100,0.09224368065129966,0.09014400094747543,0.10342399775981903,200,961611.3481431376,64,500,0.002,928.0,16000,282.66285714285715,10.34644371579135,10,15.410219662934571,2.63355,0.0,0.0,365.9177812719995,cuda,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
h4_native_precision_32_cuda_h32,32,32,32,2,350,True,200,2944.4792818472397,2963.465098590588,100,0.0935859185224399,0.08294399827718735,0.11776000261306763,200,1033083.531523564,64,1508,0.006032,2880.0,48256,282.37714285714287,10.42747034003697,10,17.75498588681221,2.2302600000000004,0.0,0.0,356.677423008,cuda,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
h4_native_precision_32_cuda_h64,32,32,64,2,350,True,200,2947.3384844472002,3002.39829625711,100,0.08451311856508255,0.08294399827718735,0.09216000139713287,200,1007645.2723931306,64,5060,0.02024,9856.0,161920,280.54285714285714,10.505840406930645,10,13.474534471705576,2.12187,0.0,0.0,353.0032687660005,cuda,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
h4_native_precision_32_cuda_h128,32,32,128,2,400,True,250,2939.7747393401955,2986.781061887741,150,0.0943892806302756,0.09113600105047226,0.10444799810647964,200,851484.5900087196,64,18308,0.073232,36096.0,585856,284.02,10.350590589888725,10,16.619659756943552,3.10561,0.0,0.0,426.0561827830006,cuda,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
h4_native_precision_16_cuda_h4,16,16,4,2,350,True,200,2925.94005575745,3017.3816576732297,100,0.15391984071582557,0.1454080045223236,0.2181120067834854,200,486548.1967405199,64,80,0.00016,136.0,1280,293.6742857142857,9.963215024566649,10,15.329150660112493,2.0040950000000004,0.0,0.0,406.8202797849999,cuda,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
h4_native_precision_16_cuda_h8,16,16,8,2,350,True,200,2932.929488961396,2987.3727810360438,150,0.15219872064888476,0.14336000382900238,0.17100800573825836,200,461614.1840203815,64,188,0.000376,336.0,3008,287.52285714285716,10.200682888679545,10,15.619663421250868,2.59672,0.0,0.0,399.540024336,cuda,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
h4_native_precision_16_cuda_h16,16,16,16,2,350,True,200,2931.3298000431946,2971.3633965481094,150,0.15588464097119867,0.1454080045223236,0.23449599742889404,200,481424.3722387364,64,500,0.001,928.0,8000,286.28285714285715,10.239278136659228,10,17.02075926020738,1.8707800000000003,0.0,0.0,395.79268181600037,cuda,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
h4_native_precision_16_cuda_h32,16,16,32,2,350,True,200,2915.1422849333526,2946.1437107343204,200,0.16684720012359322,0.1525759994983673,0.21606400609016418,200,483603.9739730383,64,1508,0.003016,2880.0,24128,285.28285714285715,10.218427823279887,10,17.250106758251786,1.8481,0.0,0.0,395.4651684849996,cuda,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
