experiment_id,precision,bits,hidden_size,n_hidden_layers,episodes_trained,stopped_early,best_episode,best_mean_reward,best_eval_reward,best_eval_episode,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_n_samples,throughput_pps,throughput_batch_size,params,packed_size_mb,flops,effective_capacity_bits,avg_steps,norm_reward,eval_episodes,eval_mean_reward,eval_makespan,eval_sla_violations,eval_sla_rate,wall_clock_s,device,seed,notes,extra
h4_native_precision_32_cuda_h256,32,32,256,2,350,True,200,2978.0363327603795,3037.2320764657115,200,0.10639408071525396,0.09728000313043594,0.14233599603176117,200,711641.2443223245,64,69380,0.27752,137728.0,2220160,281.2628571428571,10.58808960063929,10,17.600181561149657,2.9156649999999997,0.0,0.0,371.9866167649998,cuda,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
h4_native_precision_32_cuda_h512,32,32,512,2,350,True,200,2996.3202753137793,3020.6364975258707,200,0.09804479986429214,0.09404800087213516,0.11468800157308578,200,964278.6731945651,64,269828,1.079312,537600.0,8634496,279.75714285714287,10.710433502117375,10,16.036109477058044,2.8418599999999996,0.0,0.0,350.4009147860015,cuda,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
h4_native_precision_32_cuda_h1024,32,32,1024,2,350,True,200,2984.0953634100056,3041.6853836111754,150,0.09283088073134423,0.09100800007581711,0.09932799637317657,200,860995.3307296215,64,1063940,4.25576,2123776.0,34046080,280.2314285714286,10.64868197911422,10,16.202571932002872,2.19765,0.0,0.0,366.35881115699885,cuda,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
h4_native_precision_32_cuda_h2048,32,32,2048,2,600,False,550,2974.9081405015663,3008.52097454183,200,0.11382368091493845,0.11267200112342834,0.1207360029220581,200,530114.5440975758,64,4225028,16.900112,8441856.0,135200896,283.075,10.509257760316405,10,17.17199494957888076,1.89088,0.0,0.0,392.9597504329995,cuda,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
h4_native_precision_16_cuda_h512,16,16,512,2,350,True,200,2999.596114311118,3026.4699523985364,200,0.15903983883559702,0.15769599378108978,0.1679680049419403,200,412378.02912561793,64,269828,0.539656,537600.0,4317248,278.98571428571427,10.751791080023466,10,10.936883078925323,2.2413350000000003,0.0,0.0,386.125087542001,cuda,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
h4_native_precision_16_cuda_h1024,16,16,1024,2,350,True,200,2955.9477900288985,3018.7796775694937,200,0.15467680111527443,0.1515520066022873,0.1669120043516159,200,447024.88004798995,64,1063940,2.12788,2123776.0,17023040,279.42571428571426,10.578653427030078,10,15.26704732,1.997545,0.0,0.0,802.7225827740003,cuda,42,episode budget exhausted,"{""eval_every"": 50, ""n_episodes_budget"": 600}"
h4_native_precision_16_cuda_h256,16,16,256,2,350,True,200,2961.0555457644173,3001.5967679146684,350,0.16254447855055332,0.15878400206565857,0.17203199863433838,200,409038.7856795749,64,69380,0.13876,137728.0,1110080,282.09714285714284,10.496581127246401,10,15.21050419379606515169,3.2144999999999997,0.0,0.0,397.90291024900034,cuda,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
h4_native_precision_16_cuda_h2048,16,16,2048,2,350,True,200,2965.9360533087806,3006.392755478618,200,0.17597312092781067,0.174112007021904,0.18428799510002136,200,456633.69426923926,64,4225028,8.450056,8441856.0,67600448,279.4371428571429,10.61396499757751,10,18.778751716539254,2.8734849999999996,0.0,0.0,456.54684275900036,cuda,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
h4_native_precision_16_cuda_h4096,16,16,4096,2,400,True,250,2945.1538047198196,2980.869707001375,200,0.43029679968953133,0.4280320107936859,0.44332799315452576,200,158259.10043619873,64,16838660,33.67732,33660928.0,269418560,279.395,10.541182929973049,10,14.462948870137359,1.8154500000000002,0.0,0.0,948.8315518970012,cuda,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
h4_native_precision_32_cpu_h256,32,32,256,2,600,False,550,2954.8754864168673,2977.3081612229325,150,0.030566960012947675,0.02793100065900944,0.05257000157143921,200,1236937.8639322685,64,69380,0.27752,137728.0,2220160,282.765,10.449933642483572,10,18.650293013155448,1.9631600000000002,0.0,0.0,644.7511595100004,cpu,42,episode budget exhausted,"{""eval_every"": 50, ""n_episodes_budget"": 600}"
h4_native_precision_32_cpu_h512,32,32,512,2,350,True,200,2949.283663102362,2974.0464536510385,150,0.04026560518468614,0.039500002458225936,0.045029999455437064,200,602250.9127891167,64,269828,1.079312,537600.0,8634496,279.14285714285717,10.565499304870283,10,18.18938070297238,2.443985,0.0,0.0,384.7122387590025,cpu,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
h4_native_precision_32_cpu_h1024,32,32,1024,2,350,True,200,2939.614472014456,2987.6902394963413,350,0.08734590506719542,0.08651100142742507,0.09230099749402143,200,224952.05050656467,64,1063940,4.25576,2123776.0,34046080,279.78285714285715,10.506771222632446,10,15.799488755650827,2.508555,0.0,0.0,779.636757586999,cpu,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
h4_native_precision_32_cpu_h2048,32,32,2048,2,350,True,200,2972.744175762063,2997.740047188106,200,0.23766093490849016,0.2291409982717596,0.30178099768818356,200,72062.79885573841,64,4225028,16.900112,8441856.0,135200896,279.3885714285714,10.640178159621236,10,11.850625425465392,2.2621899999999995,0.0,0.0,2653.706816225,cpu,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
h4_native_precision_8_cpu_h256,8,8,256,2,350,True,200,2923.8659881261506,2961.9276117797976,200,0.25177685485687107,0.2441910000925418,0.30947200139053166,200,105702.13119576544,64,69380,0.06938,137728.0,555040,285.42,10.2440823632757,10,17.08440477393568,2.854215,0.0,0.0,496.3166985889984,cpu,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
h4_native_precision_8_cpu_h512,8,8,512,2,350,True,200,2909.815075171367,2955.4647287242124,200,0.28469410510297166,0.28174199906061403,0.2998019990627654,200,42048.74176468516,64,269828,0.269828,537600.0,2158624,286.66857142857145,10.150450259233942,10,13.240394238233586,3.91774,0.0,0.0,575.285472042,cpu,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
