experiment_id,precision,bits,hidden_size,n_hidden_layers,episodes_trained,stopped_early,best_episode,best_mean_reward,best_eval_reward,best_eval_episode,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_n_samples,throughput_pps,throughput_batch_size,params,packed_size_mb,flops,effective_capacity_bits,avg_steps,norm_reward,eval_episodes,eval_mean_reward,eval_makespan,eval_sla_violations,eval_sla_rate,wall_clock_s,device,seed,notes,extra
h4_native_precision_32_cuda_h16,32,32,16,1,350,True,200,2947.240520890244,2977.886776044037,100,0.06837247973307967,0.06147199869155884,0.0798719972372055,200,1578726.269324866,64,228,0.000912,416.0,7296,288.6,10.212198617083311,10,16.51521284431219,1.612365,0.0,0.0,351.563449923,cuda,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
h4_native_precision_32_cuda_h32,32,32,32,1,350,True,200,2943.8268945127725,3020.1859869126242,100,0.0650400000065565,0.061344001442193985,0.07065600156784058,200,1602872.7487730873,64,452,0.001808,832.0,14464,283.4685714285714,10.385020391068503,10,18.354962299391627,3.475875,0.0,0.0,336.1823157159997,cuda,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
h4_native_precision_32_cuda_h64,32,32,64,1,400,True,250,2902.2560345095894,2968.736166637392,200,0.07206415977329016,0.06143999844789505,0.1085439994931221,200,1542777.6068991332,64,900,0.0036,1664.0,28800,285.7025,10.158315151283555,10,19.10057081997398,3.18902,0.0,0.0,400.37140530800025,cuda,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
h4_native_precision_32_cuda_h128,32,32,128,1,550,True,400,2942.8329096289367,2982.8065808806573,550,0.06809775928035379,0.062272001057863235,0.07475200295448303,200,1602046.0129974133,64,1796,0.007184,3328.0,57472,284.6618181818182,10.337996603918622,10,17.79314965628091,1.79832,0.0,0.0,582.8751050179999,cuda,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
h4_native_precision_16_cuda_h16,16,16,16,1,400,True,250,2835.119536097471,2914.5237406924352,150,0.11758703995496035,0.1085439994931221,0.12390399724245071,200,691659.7185847145,64,228,0.000456,416.0,3648,293.6075,9.65615502361987,10,15.538760447278628,2.597,0.0,0.0,444.8574747540006,cuda,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
h4_native_precision_16_cuda_h32,16,16,32,1,400,True,250,2841.6560390718264,2905.8523044314206,200,0.1094713593646884,0.10751999914646149,0.1157120019197464,200,691409.2508279312,64,452,0.000904,832.0,7232,291.8425,9.736950715100873,10,17.34886927008629,2.76722,0.0,0.0,428.32018597299975,cuda,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
h4_native_precision_16_cuda_h64,16,16,64,1,350,True,200,2919.846726268593,3013.7945688826967,100,0.11619168128818273,0.11558400094509125,0.12390399724245071,200,641888.5323690592,64,900,0.0018,1664.0,14400,287.4657142857143,10.157199906513151,10,19.66943963959817,3.334755,0.0,0.0,359.2070445169993,cuda,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
h4_native_precision_16_cuda_h128,16,16,128,1,350,True,200,2952.088141434204,2971.154278605428,150,0.10948831912130118,0.10547199845314026,0.12591999769210815,200,663013.6341353827,64,1796,0.003592,3328.0,28736,286.74857142857144,10.295040448595797,10,19.20444747447964,3.3552799999999996,0.0,0.0,357.0599279279995,cuda,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
h4_native_precision_32_cpu_h16,32,32,16,1,350,True,200,2842.873773381614,2869.904439876232,150,0.016106160164781613,0.015480000001844019,0.019949999114032835,200,2675905.2287740274,64,228,0.000912,416.0,7296,287.04857142857145,9.9038074261555,10,12.80905269682405,2.40017,0.0,0.0,296.3932563660019,cpu,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
h4_native_precision_32_cpu_h32,32,32,32,1,600,True,450,2840.670028781889,2870.7624043837163,600,0.01421900491550332,0.013799999578623101,0.015440000424860045,200,2629376.0877823047,64,452,0.001808,832.0,14464,286.25333333333333,9.923622532891223,10,17.036994260959325,3.0395299999999996,0.0,0.0,569.5606161569995,cpu,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
h4_native_precision_32_cpu_h64,32,32,64,1,350,True,200,2917.5615817823764,2979.2352400399736,150,0.014105934988037916,0.013890999980503693,0.015370998880825937,200,2539969.79925492,64,900,0.0036,1664.0,28800,282.78,10.317425496083091,10,17.85444067899134,2.991755,0.0,0.0,290.19916777899925,cpu,42,reward plateau detected (early stop),"{""eval_every"": 50, ""n_episodes_budget"": 600}"
